Input1 Img,Input2 Img,Checkpoint,flag,username,timestamp
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpzuc5l36w.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp9sd66gbl.png,WHU,,,2023-04-22 14:08:25.129842
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpc_ks8vyl.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp2gsmhwj1.png,WHU,,,2023-04-22 14:13:17.518298
,,WHU,,,2023-04-22 14:13:53.900989
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpgv0bwsh7.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp76_h2ots.png,WHU,,,2023-04-22 14:15:59.857129
E:\PycharmProject\BiFA\flagged\Input1 Img\tmptftbu29j.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpksybs2m3.png,WHU,,,2023-04-22 14:17:57.880273
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp_hzqebke.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpn5tl31gu.png,WHU,,,2023-04-22 14:18:03.849280
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpew6i3o7y.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpf76n109s.png,WHU,,,2023-04-22 14:35:43.967135
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpshhzokb7.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpishevs1a.png,WHU,,,2023-04-22 14:36:27.395278
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpyp4l3_26.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp472407oq.png,WHU,,,2023-04-22 14:38:07.481660
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpuu_mus9z.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp4_mr2nwq.png,WHU,,,2023-04-22 14:39:09.490135
E:\PycharmProject\BiFA\flagged\Input1 Img\tmphhld7ayx.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpg3qi_fiu.png,WHU,,,2023-04-22 14:42:17.818920
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpg8ii4adu.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmphebw46mr.png,WHU,,,2023-04-22 14:44:05.417456
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp2k4ddetm.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpvi0jkmkm.png,WHU,,,2023-04-22 14:46:49.655082
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpkbhr84sy.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmplgvsz80r.png,WHU,,,2023-04-22 14:48:25.489679
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp16twbhbm.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpivr0sv05.png,WHU,,,2023-04-22 14:49:18.677179
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp03n408ak.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp5hvr_qdi.png,WHU,,,2023-04-22 14:52:06.809286
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpxfu26r5r.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpy7vn9d6l.png,WHU,,,2023-04-22 14:53:01.907704
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp447v0j7s.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmplwlwqgjs.png,WHU,,,2023-04-22 14:57:40.211895
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp8yfes68_.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpftd0yx3w.png,WHU,,,2023-04-22 15:04:22.088953
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpvh6es7s1.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp8exaiqpu.png,WHU,,,2023-04-22 15:04:31.542264
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpoitdm1g5.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpjfj2ddqw.png,WHU,,,2023-04-22 15:04:52.594057
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpzbzx7qw0.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmp5dpchg94.png,WHU,,,2023-04-22 15:05:05.187817
E:\PycharmProject\BiFA\flagged\Input1 Img\tmppl9ggik4.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmplky_lvtv.png,WHU,,,2023-04-22 15:05:41.750505
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp8rfp79aj.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmplqcd4dxx.png,WHU,,,2023-04-22 15:05:47.614738
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpvyekcalt.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpsuffg_6e.png,WHU,,,2023-04-22 15:06:03.573274
E:\PycharmProject\BiFA\flagged\Input1 Img\tmp1bu3xz1s.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpmfpmq_66.png,WHU,,,2023-04-22 15:06:11.012387
E:\PycharmProject\BiFA\flagged\Input1 Img\tmpj29ywd39.png,E:\PycharmProject\BiFA\flagged\Input2 Img\tmpasfi80ds.png,WHU,,,2023-04-22 15:09:48.677487
